id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,MSS1,90,73,0,max_iter,-38.31183722209472,9.548742055892944,3000,0.010142243352651015,0.020339133039590257,4936,3001,4936,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
2,WAYSEA1NE,2,2,0,first_order,0.0,0.00034618377685546875,6,8.38160515511946e-6,0.0009069816165906408,7,7,7,0,0,6,0,13,6,0,0,0,0,0,0,0,0,0,0,
3,BROWNDENE,4,20,0,max_iter,0.0,0.2739720344543457,3000,0.0625,178.97779172104208,4535,3001,4535,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
4,HS79,5,3,0,first_order,0.07877516484170324,0.0003368854522705078,4,1.0282028660879572e-5,3.521019982644091e-5,5,5,5,0,0,4,0,9,4,0,0,0,0,0,0,0,0,0,0,
5,GULFNE,3,99,0,first_order,0.0,0.006273031234741211,13,0.0004696342707322178,2.2245959651612246e-6,18,14,18,0,0,13,0,27,13,0,0,0,0,0,0,0,0,0,0,
6,JUDGENE,2,20,0,max_iter,0.0,0.2649569511413574,3000,0.03515625,2.080825685876455,14870,3001,14870,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
7,STRTCHDVNE,10,9,0,first_order,0.0,0.0006542205810546875,5,0.0001295018358794849,0.000564442267398423,6,6,6,0,0,5,0,11,5,0,0,0,0,0,0,0,0,0,0,
8,TRIGON1NE,10,10,0,first_order,0.0,0.0005819797515869141,4,5.68221122989404e-7,1.8749178209986894e-8,5,5,5,0,0,4,0,9,4,0,0,0,0,0,0,0,0,0,0,
9,PENLT1NE,10,11,0,first_order,0.0,0.0006439685821533203,8,4.0747227734775947e-7,9.74325692531744e-6,9,9,9,0,0,8,0,17,8,0,0,0,0,0,0,0,0,0,0,
10,BA-L1SP,57,12,0,first_order,0.0,0.011809825897216797,3,8.537126210712706e-8,1.41201218490808e-5,4,4,4,0,0,3,0,7,3,0,0,0,0,0,0,0,0,0,0,
11,EXPFITNE,2,10,0,max_iter,0.0,0.24622583389282227,3000,0.0015106201171875,0.3189220237022039,38773,3001,38773,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
12,SSINE,3,2,0,first_order,0.0,0.1248629093170166,2518,7.870656932110268e-11,1.8360867335469716e-7,21599,2519,21599,0,0,2518,0,5037,2518,0,0,0,0,0,0,0,0,0,0,
13,HS7,2,1,0,first_order,-1.7321365930002195,0.0008039474487304688,15,9.973012918829127e-6,0.0002971768296342603,85,16,85,0,0,15,0,31,15,0,0,0,0,0,0,0,0,0,0,
14,BOX3NE,3,10,0,first_order,0.0,0.0004928112030029297,5,4.2672123245187534e-5,5.327902481352953e-8,6,6,6,0,0,5,0,11,5,0,0,0,0,0,0,0,0,0,0,
15,HS48,5,2,0,first_order,1.7660388365651003e-8,0.00040602684020996094,6,0.00034792030349642015,1.6474773789632025e-7,7,7,7,0,0,6,0,13,6,0,0,0,0,0,0,0,0,0,0,
16,BT9,4,2,0,first_order,-1.0019773240405128,0.0005819797515869141,10,0.00011078441951817286,0.000992781286446319,13,11,13,0,0,10,0,21,10,0,0,0,0,0,0,0,0,0,0,
17,S308NE,2,3,0,max_iter,0.0,0.14584589004516602,3000,0.0078125,0.7683329806503616,5979,3001,5979,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
18,MGH17S,5,33,0,max_iter,0.0,0.49203920364379883,3000,0.023272084508789703,0.005153147444005413,3019,3001,3019,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
19,DENSCHNDNE,3,3,0,first_order,0.0,0.0011570453643798828,24,0.00042384630980375125,8.134120543401024e-5,25,25,25,0,0,24,0,49,24,0,0,0,0,0,0,0,0,0,0,
20,CERI651B,7,66,0,max_iter,0.0,1.087076187133789,3000,1.773889985879937,2.737575987507312,3008,3001,3008,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
21,THURBER,7,37,0,max_iter,0.0,1.059103012084961,3000,3.041082814335823,34.965721440783,90426,3001,90426,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
22,CERI651E,7,64,0,max_iter,0.0,0.9852688312530518,3000,0.038473472730173194,1.9611328686478453,3002,3001,3002,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
23,BARDNE,3,15,0,max_iter,0.0,0.25314903259277344,3000,0.02734375,0.08221604243401176,23814,3001,23814,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
24,GOTTFR,2,2,0,first_order,0.0,0.0014591217041015625,33,1.8429643661095234e-5,4.7201180408684706e-8,35,34,35,0,0,33,0,67,33,0,0,0,0,0,0,0,0,0,0,
25,STREGNE,4,2,0,first_order,0.0,0.00028705596923828125,4,0.0003393390699413137,6.832735429673775e-7,5,5,5,0,0,4,0,9,4,0,0,0,0,0,0,0,0,0,0,
26,PENLT2NE,4,8,0,first_order,0.0,0.0002918243408203125,3,0.00012057364639074982,0.00024279020546993935,4,4,4,0,0,3,0,7,3,0,0,0,0,0,0,0,0,0,0,
27,HS42,4,2,0,first_order,13.857848636777067,0.0003390312194824219,5,3.2559228184680933e-6,3.984047872274132e-6,6,6,6,0,0,5,0,11,5,0,0,0,0,0,0,0,0,0,0,
