id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,MSS1,90,73,0,max_time,-15.990168411289176,30.004499912261963,10,0.5140435148682002,0.00035738854257104515,2313,2268,2360,0,0,0,1294807,1297073,0,1294804,0,0,0,0,0,0,0,0,0,
2,WAYSEA1NE,2,2,0,first_order,0.0,0.0015680789947509766,6,2.857759107087484e-6,1.125675075113647e-8,30,36,25,0,0,0,161,196,0,161,0,0,0,0,0,0,0,0,0,
3,BROWNDENE,4,20,0,infeasible,131072.0,0.01938605308532715,16,0.0,292.9542649500645,130,148,219,0,0,0,2658,2806,0,2658,0,0,0,0,0,0,0,0,0,
4,HS79,5,3,0,first_order,0.07877641931221654,0.0023338794708251953,5,3.0356455881542757e-7,1.6065858597047226e-5,41,38,45,0,0,0,365,401,0,361,0,0,0,0,0,0,0,0,0,
5,GULFNE,3,99,0,first_order,0.0,0.047714948654174805,5,9.465430606521804e-5,0.0007344354808215154,48,44,54,0,0,0,351,394,0,351,0,0,0,0,0,0,0,0,0,
6,JUDGENE,2,20,0,infeasible,-32.0,0.008439064025878906,16,0.0,4.010203253322754,65,83,88,0,0,0,1909,1992,0,1909,0,0,0,0,0,0,0,0,0,
7,STRTCHDVNE,10,9,0,first_order,2.8314985545577436e-30,0.0037000179290771484,3,5.58831033418199e-6,1.3271900459959532e-14,21,21,22,0,0,0,134,154,0,134,0,0,0,0,0,0,0,0,0,
8,TRIGON1NE,10,10,0,first_order,2.0679515313825692e-25,0.002479076385498047,5,6.741460682152514e-7,1.7782731700793651e-6,20,22,19,0,0,0,185,206,0,185,0,0,0,0,0,0,0,0,0,
9,PENLT1NE,10,11,0,first_order,0.0,0.03895401954650879,6,6.985132341598325e-9,2.662784738496303e-5,1310,937,1744,0,0,0,10204,11140,0,10204,0,0,0,0,0,0,0,0,0,
10,BA-L1SP,57,12,0,first_order,0.0,0.24652910232543945,5,2.3949691274146195e-7,2.5653125728254786e-6,23,25,24,0,0,0,939,963,0,939,0,0,0,0,0,0,0,0,0,
11,EXPFITNE,2,10,0,infeasible,0.0,0.013360023498535156,18,0.5045601499390533,0.4904187945002294,180,197,304,0,0,0,2679,2876,0,2679,0,0,0,0,0,0,0,0,0,
12,SSINE,3,2,0,first_order,2.964615315390051e-19,0.01441502571105957,4,0.0001856998121687517,0.0005493590499531205,545,390,701,0,0,0,6625,7014,0,6625,0,0,0,0,0,0,0,0,0,
13,HS7,2,1,0,first_order,-1.7319998483409496,0.002527952194213867,5,3.5524429316109444e-9,0.00017652534692791377,89,71,108,0,0,0,589,658,0,587,0,0,0,0,0,0,0,0,0,
14,BOX3NE,3,10,0,first_order,0.0,0.002310037612915039,5,2.4587724008935374e-7,0.0006260742246705487,29,34,25,0,0,0,207,240,0,207,0,0,0,0,0,0,0,0,0,
15,HS48,5,2,0,first_order,2.5000491493619443e-10,0.0008928775787353516,4,4.471104830670775e-5,7.6446534919446e-6,9,14,5,0,0,0,34,46,0,31,0,0,0,0,0,0,0,0,0,
16,BT9,4,2,0,first_order,-0.9997533582602237,0.0016019344329833984,5,2.3078786012766445e-5,0.000174316586217816,37,36,39,0,0,0,244,278,0,241,0,0,0,0,0,0,0,0,0,
17,S308NE,2,3,0,infeasible,0.5,0.009846925735473633,16,0.0,0.8793173809796572,198,215,354,0,0,0,2654,2869,0,2654,0,0,0,0,0,0,0,0,0,
18,MGH17S,5,33,0,infeasible,-3.0517578125e-5,6.755949974060059,30,255.0974873344609,0.007392492609047792,17921,10931,25098,0,0,0,434682,445613,0,434682,0,0,0,0,0,0,0,0,0,
19,DENSCHNDNE,3,3,0,first_order,6.938893903907228e-18,0.0025229454040527344,6,9.093272997292814e-6,0.0009343133528322484,65,59,72,0,0,0,422,480,0,422,0,0,0,0,0,0,0,0,0,
20,CERI651B,7,66,0,infeasible,0.0,0.8625609874725342,16,0.0,9.792615242802023,453,537,513,0,0,0,15749,16286,0,15749,0,0,0,0,0,0,0,0,0,
21,THURBER,7,37,0,infeasible,0.0,0.07512688636779785,16,0.0,75.1179621639661,234,247,409,0,0,0,5383,5630,0,5383,0,0,0,0,0,0,0,0,0,
22,CERI651E,7,64,0,max_time,-1.0059074217907172e43,30.000322103500366,3,0.0,1.4183845894472466e20,27786,9,55563,0,0,0,500060,500068,0,500060,0,0,0,0,0,0,0,0,0,
23,BARDNE,3,15,0,infeasible,0.0,0.021442890167236328,25,0.016502386876175324,0.09063596033903418,292,322,515,0,0,0,4125,4447,0,4125,0,0,0,0,0,0,0,0,0,
24,GOTTFR,2,2,0,first_order,0.0,0.0016560554504394531,4,5.6950654871621024e-8,0.0007004620874746591,48,38,59,0,0,0,352,389,0,352,0,0,0,0,0,0,0,0,0,
25,STREGNE,4,2,0,first_order,0.0,0.0894780158996582,4,3.268353585924942e-11,4.5715691948098535e-5,3250,2700,3801,0,0,0,38542,41240,0,38541,0,0,0,0,0,0,0,0,0,
26,PENLT2NE,4,8,0,first_order,-6.617444900424222e-24,0.0016741752624511719,5,2.2316856456160382e-7,9.848442816062779e-6,25,25,26,0,0,0,153,177,0,153,0,0,0,0,0,0,0,0,0,
27,HS42,4,2,0,first_order,13.85856561647459,0.0006768703460693359,3,0.00024530293246378677,0.0006956155657395671,7,11,4,0,0,0,19,28,0,17,0,0,0,0,0,0,0,0,0,
28,HS27,3,1,0,first_order,0.040000060942939564,0.002733945846557617,5,1.3520385270214945e-10,1.5235729087231079e-6,86,65,108,0,0,0,643,706,0,641,0,0,0,0,0,0,0,0,0,
29,DENSCHNBNE,2,3,0,first_order,0.0,0.0010008811950683594,4,4.831052016606985e-10,3.0164861927701828e-9,16,18,15,0,0,0,65,82,0,65,0,0,0,0,0,0,0,0,0,
30,DIXCHLNG,10,5,0,first_order,1837.393740674394,0.009483098983764648,8,7.126866047140024e-6,0.00027129856567086085,100,77,125,0,0,0,970,1045,0,964,0,0,0,0,0,0,0,0,0,
31,VARDIMNE,10,12,0,first_order,0.0,0.0014488697052001953,5,5.273044381485894e-8,3.2115098250655326e-5,20,26,15,0,0,0,76,101,0,76,0,0,0,0,0,0,0,0,0,
32,HIMMELBE,3,3,0,first_order,5.048709793414476e-29,0.0011630058288574219,5,2.494658326762005e-9,2.1628217436588948e-8,14,20,9,0,0,0,59,78,0,59,0,0,0,0,0,0,0,0,0,
33,CERI651A,7,61,0,infeasible,-256.0,1.1776149272918701,16,0.0,18.297925670501133,879,953,996,0,0,0,22974,23927,0,22974,0,0,0,0,0,0,0,0,0,
34,MISRA1C,2,14,0,infeasible,0.0625,0.021207094192504883,19,0.9858970642089853,0.20240266048319402,209,224,349,0,0,0,4428,4652,0,4428,0,0,0,0,0,0,0,0,0,
35,HATFLDG,25,25,0,first_order,0.0,0.004725933074951172,5,1.3092404036465127e-9,2.44362878226609e-6,38,34,43,0,0,0,414,447,0,414,0,0,0,0,0,0,0,0,0,
36,BT11,5,3,0,first_order,0.8254691640474523,0.002076864242553711,5,6.11812277259282e-6,0.00030572619560885423,39,37,42,0,0,0,302,337,0,298,0,0,0,0,0,0,0,0,0,
37,MARATOS,2,1,0,first_order,-0.9999984368512257,0.0011668205261230469,5,1.2571744520519275e-10,3.1263013576809927e-6,16,22,11,0,0,0,72,92,0,70,0,0,0,0,0,0,0,0,0,
38,JENSMPNE,2,10,0,infeasible,0.0,0.011842966079711914,16,0.0,11.151779335855549,27,45,11,0,0,0,1861,1906,0,1861,0,0,0,0,0,0,0,0,0,
