id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,MSS1,90,73,0,max_time,-15.990168827612665,30.237843990325928,10,13.333904035963672,0.00035738862815808364,2314,2269,2361,0,0,0,1307483,1309750,0,1307480,0,0,0,0,0,0,0,0,0,
2,WAYSEA1NE,2,2,0,first_order,0.0,0.002223968505859375,6,2.857759107087484e-6,1.125675075113647e-8,30,36,25,0,0,0,161,196,0,161,0,0,0,0,0,0,0,0,0,
3,BROWNDENE,4,20,0,infeasible,131072.0,0.01916193962097168,16,0.0,292.9542649500645,130,148,219,0,0,0,2658,2806,0,2658,0,0,0,0,0,0,0,0,0,
4,HS79,5,3,0,first_order,0.07877641931221654,0.002198934555053711,5,3.0356455881542757e-7,1.6065858597047226e-5,41,38,45,0,0,0,365,401,0,361,0,0,0,0,0,0,0,0,0,
5,GULFNE,3,99,0,first_order,0.0,0.053572893142700195,6,9.928341243352684e-11,7.846311604216761e-9,52,50,57,0,0,0,402,451,0,402,0,0,0,0,0,0,0,0,0,
6,JUDGENE,2,20,0,infeasible,-32.0,0.008014917373657227,16,0.0,4.010203253322754,65,83,88,0,0,0,1909,1992,0,1909,0,0,0,0,0,0,0,0,0,
7,STRTCHDVNE,10,9,0,first_order,2.8314985545577436e-30,0.0036840438842773438,3,5.58831033418199e-6,1.3271900459959532e-14,21,21,22,0,0,0,134,154,0,134,0,0,0,0,0,0,0,0,0,
8,TRIGON1NE,10,10,0,first_order,2.0679515313825692e-25,0.002424955368041992,5,6.741460682152514e-7,1.7782731700793651e-6,20,22,19,0,0,0,185,206,0,185,0,0,0,0,0,0,0,0,0,
9,PENLT1NE,10,11,0,first_order,0.0,0.03778696060180664,6,6.985132341598325e-9,2.662784738496303e-5,1310,937,1744,0,0,0,10204,11140,0,10204,0,0,0,0,0,0,0,0,0,
10,BA-L1SP,57,12,0,first_order,0.0,0.2229161262512207,5,2.3949691274146195e-7,2.5653125728254786e-6,23,25,24,0,0,0,939,963,0,939,0,0,0,0,0,0,0,0,0,
11,EXPFITNE,2,10,0,infeasible,0.0,0.013134956359863281,18,0.5045601499390533,0.4904187945002294,180,197,304,0,0,0,2679,2876,0,2679,0,0,0,0,0,0,0,0,0,
12,SSINE,3,2,0,first_order,3.1763735522036263e-22,0.21087908744812012,6,9.949437134332174e-7,1.7671544576524535e-5,5725,3804,7647,0,0,0,96238,100041,0,96238,0,0,0,0,0,0,0,0,0,
13,HS7,2,1,0,first_order,-1.732050807323665,0.002713918685913086,6,1.4416713115194634e-11,8.494405179249043e-10,92,76,110,0,0,0,608,682,0,606,0,0,0,0,0,0,0,0,0,
14,BOX3NE,3,10,0,first_order,-1.3234889800848443e-23,0.002691984176635742,6,1.4825531009620006e-14,1.4823365549073537e-5,33,40,28,0,0,0,247,286,0,247,0,0,0,0,0,0,0,0,0,
15,HS48,5,2,0,first_order,2.5000491493619443e-10,0.0009140968322753906,4,4.471104830670775e-5,7.6446534919446e-6,9,14,5,0,0,0,34,46,0,31,0,0,0,0,0,0,0,0,0,
16,BT9,4,2,0,first_order,-0.9999980336657244,0.002532958984375,6,2.0839209396443918e-9,1.390412394737296e-6,64,64,89,0,0,0,530,592,0,527,0,0,0,0,0,0,0,0,0,
17,S308NE,2,3,0,infeasible,0.5,0.008619070053100586,16,0.0,0.8793173809796572,198,215,354,0,0,0,2654,2869,0,2654,0,0,0,0,0,0,0,0,0,
18,MGH17S,5,33,0,infeasible,-3.0517578125e-5,6.786118030548096,30,255.0974873344609,0.007392492609047792,17921,10931,25098,0,0,0,434682,445613,0,434682,0,0,0,0,0,0,0,0,0,
19,DENSCHNDNE,3,3,0,first_order,0.0,0.0037081241607666016,8,2.051225846296039e-10,1.398651955897722e-5,105,93,120,0,0,0,714,806,0,714,0,0,0,0,0,0,0,0,0,
20,CERI651B,7,66,0,infeasible,0.0,0.8608670234680176,16,0.0,9.792615242802023,453,537,513,0,0,0,15749,16286,0,15749,0,0,0,0,0,0,0,0,0,
21,THURBER,7,37,0,infeasible,0.0,0.0754098892211914,16,0.0,75.1179621639661,234,247,409,0,0,0,5383,5630,0,5383,0,0,0,0,0,0,0,0,0,
22,CERI651E,7,64,0,max_time,-1.0059074217907172e43,30.000571966171265,3,0.0,1.4183845894472466e20,27846,9,55683,0,0,0,501140,501148,0,501140,0,0,0,0,0,0,0,0,0,
23,BARDNE,3,15,0,infeasible,0.0,0.022530078887939453,25,0.016502386876175324,0.09063596033903418,292,322,515,0,0,0,4125,4447,0,4125,0,0,0,0,0,0,0,0,0,
24,GOTTFR,2,2,0,first_order,4.235164736271502e-22,0.0019991397857666016,5,2.6532115134146083e-7,7.00461536563629e-5,53,44,63,0,0,0,392,435,0,392,0,0,0,0,0,0,0,0,0,
25,STREGNE,4,2,0,first_order,0.0,0.11517882347106934,4,3.268353585924942e-11,4.5715691948098535e-5,3250,2700,3801,0,0,0,38542,41240,0,38541,0,0,0,0,0,0,0,0,0,
26,PENLT2NE,4,8,0,first_order,-6.617444900424222e-24,0.0016939640045166016,5,2.2316856456160382e-7,9.848442816062779e-6,25,25,26,0,0,0,153,177,0,153,0,0,0,0,0,0,0,0,0,
27,HS42,4,2,0,first_order,13.857864360231805,0.0008981227874755859,4,1.5301850127686206e-12,9.597586016039918e-6,10,16,6,0,0,0,35,49,0,33,0,0,0,0,0,0,0,0,0,
28,HS27,3,1,0,first_order,0.040000060942939564,0.002650022506713867,5,1.3520385270214945e-10,1.5235729087231079e-6,86,65,108,0,0,0,643,706,0,641,0,0,0,0,0,0,0,0,0,
29,DENSCHNBNE,2,3,0,first_order,0.0,0.0009829998016357422,4,4.831052016606985e-10,3.0164861927701828e-9,16,18,15,0,0,0,65,82,0,65,0,0,0,0,0,0,0,0,0,
30,DIXCHLNG,10,5,0,first_order,1837.8397040514944,0.014889955520629883,9,6.107943482522153e-5,1.542368272310879e-6,115,93,151,0,0,0,1708,1799,0,1702,0,0,0,0,0,0,0,0,0,
31,VARDIMNE,10,12,0,first_order,0.0,0.0012638568878173828,5,5.273044381485894e-8,3.2115098250655326e-5,20,26,15,0,0,0,76,101,0,76,0,0,0,0,0,0,0,0,0,
32,HIMMELBE,3,3,0,first_order,5.048709793414476e-29,0.0011658668518066406,5,2.494658326762005e-9,2.1628217436588948e-8,14,20,9,0,0,0,59,78,0,59,0,0,0,0,0,0,0,0,0,
33,CERI651A,7,61,0,infeasible,-256.0,1.1659820079803467,16,0.0,18.297925670501133,879,953,996,0,0,0,22974,23927,0,22974,0,0,0,0,0,0,0,0,0,
34,MISRA1C,2,14,0,infeasible,0.0625,0.021966934204101562,19,0.9858970642089853,0.20240266048319402,209,224,349,0,0,0,4428,4652,0,4428,0,0,0,0,0,0,0,0,0,
35,HATFLDG,25,25,0,first_order,0.0,0.004869937896728516,5,1.3092404036465127e-9,2.44362878226609e-6,38,34,43,0,0,0,414,447,0,414,0,0,0,0,0,0,0,0,0,
36,BT11,5,3,0,first_order,0.824896491325781,0.002443075180053711,6,1.9808024733464821e-13,2.482212020665018e-6,43,43,45,0,0,0,357,398,0,353,0,0,0,0,0,0,0,0,0,
37,MARATOS,2,1,0,first_order,-0.9999984368512257,0.0011899471282958984,5,1.2571744520519275e-10,3.1263013576809927e-6,16,22,11,0,0,0,72,92,0,70,0,0,0,0,0,0,0,0,0,
38,JENSMPNE,2,10,0,infeasible,0.0,0.01193094253540039,16,0.0,11.151779335855549,27,45,11,0,0,0,1861,1906,0,1861,0,0,0,0,0,0,0,0,0,
39,MANCINONE,100,100,0,first_order,-1.3234889800848443e-23,5.046285152435303,4,5.1637070624202294e-5,9.321766780511934e-6,19,24,22,0,0,0,733,756,0,733,0,0,0,0,0,0,0,0,0,
40,LSC1,3,6,0,infeasible,-8.0,0.00652313232421875,16,0.0,2.7770221891119196,43,55,33,0,0,0,1636,1691,0,1636,0,0,0,0,0,0,0,0,0,
41,CHWIRUT2,3,54,0,infeasible,-512.0,0.0514371395111084,16,0.0,22.650563556054532,194,198,348,0,0,0,2999,3197,0,2999,0,0,0,0,0,0,0,0,0,
42,BT6,5,2,0,first_order,5.150659823565631,0.004751920700073242,5,2.7848455148230375e-9,3.3385873984337907e-9,83,72,97,0,0,0,849,919,0,846,0,0,0,0,0,0,0,0,0,
43,ORTHREGB,27,6,0,first_order,3.374446776020152e-20,0.02240610122680664,5,4.814076700243214e-7,1.689778171668463e-11,121,103,189,0,0,0,2334,2436,0,2334,0,0,0,0,0,0,0,0,0,
44,HS6,2,1,0,first_order,1.634182507000112e-14,0.0025680065155029297,3,1.3640675217402918e-6,2.4999287451255015e-6,105,79,132,0,0,0,707,784,0,705,0,0,0,0,0,0,0,0,0,
45,HS28,3,1,0,first_order,0.0,0.0011169910430908203,5,4.2033046860066234e-11,8.583587780264246e-5,11,17,6,0,0,0,35,50,0,33,0,0,0,0,0,0,0,0,0,
46,WATSONNE,12,31,0,first_order,-8.470329472543003e-22,0.4518461227416992,7,1.014032127097708e-8,2.670668897454314e-5,166,139,194,0,0,0,19150,19288,0,19150,0,0,0,0,0,0,0,0,0,
47,DEVGLA1NE,4,24,0,first_order,1.0339757656912846e-25,0.0072269439697265625,4,3.362628824223665e-8,1.2208105240044002e-6,32,31,34,0,0,0,200,230,0,200,0,0,0,0,0,0,0,0,0,
48,CUBENE,2,2,0,first_order,0.0,0.002145051956176758,5,2.9292906211819226e-8,8.703811540935651e-11,58,60,75,0,0,0,489,548,0,489,0,0,0,0,0,0,0,0,0,
49,HS40,4,3,0,first_order,-0.25000811371442827,0.001283884048461914,5,1.685994106609778e-9,1.061972871652383e-5,17,22,13,0,0,0,100,120,0,96,0,0,0,0,0,0,0,0,0,
50,ELATVIDUNE,2,3,0,infeasible,0.0,0.009769916534423828,16,0.0,7.399399883925116,215,233,386,0,0,0,2745,2978,0,2745,0,0,0,0,0,0,0,0,0,
