id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,real_time,internal_msg
1,MSS1,90,73,0,unknown,-15.999999999124363,0.312,262,7.323141668891253e-5,1.124846094851829e-10,780,233,781,0,0,267,0,0,261,0,0,0,0,0,0,0,0,0,0,,0.3312990665435791,Restoration_Failed
2,WAYSEA1NE,2,2,0,first_order,0.0,0.004,7,0.0,2.7140425906679866e-8,8,9,8,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,,0.003968000411987305,Solve_Succeeded
3,BROWNDENE,4,20,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0015149116516113281,Not_Enough_Degrees_Of_Freedom
4,HS79,5,3,0,first_order,0.07877682107949913,0.002,4,3.412663325541576e-9,3.88762644298879e-9,5,6,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.002583026885986328,Solve_Succeeded
5,GULFNE,3,99,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0015909671783447266,Not_Enough_Degrees_Of_Freedom
6,JUDGENE,2,20,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001522064208984375,Not_Enough_Degrees_Of_Freedom
7,STRTCHDVNE,10,9,0,first_order,0.0,0.005,9,1.4467454894661194e-10,2.5930255172008693e-6,10,11,10,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,0,,0.00579380989074707,Solve_Succeeded
8,TRIGON1NE,10,10,0,first_order,0.0,0.002,4,0.0,1.7789128392564635e-8,5,6,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.0025720596313476562,Solve_Succeeded
9,PENLT1NE,10,11,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001519918441772461,Not_Enough_Degrees_Of_Freedom
10,BA-L1SP,57,12,0,first_order,0.0,0.007,5,3.4564265232806444e-13,5.352736235888144e-12,6,7,6,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,,0.0067310333251953125,Solve_Succeeded
11,EXPFITNE,2,10,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001544952392578125,Not_Enough_Degrees_Of_Freedom
12,SSINE,3,2,0,first_order,0.0,0.12400000000000001,226,2.4201085579989012e-11,3.4989520144954754e-9,986,228,1001,0,0,228,0,0,226,0,0,0,0,0,0,0,0,0,0,,0.13638997077941895,Solve_Succeeded
13,HS7,2,1,0,first_order,-1.7320512698720718,0.01,26,9.998969360269783e-7,1.6014655570550929e-6,27,28,57,0,0,28,0,0,26,0,0,0,0,0,0,0,0,0,0,,0.015089988708496094,Solve_Succeeded
14,BOX3NE,3,10,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0017549991607666016,Not_Enough_Degrees_Of_Freedom
15,HS48,5,2,0,first_order,3.944304526105059e-31,0.001,1,1.4988010832439613e-15,4.440892098500626e-16,2,3,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.0012090206146240234,Solve_Succeeded
16,BT9,4,2,0,first_order,-1.000000584621599,0.006,12,2.8412677609793e-6,2.985079988929451e-7,13,14,13,0,0,14,0,0,12,0,0,0,0,0,0,0,0,0,0,,0.0061740875244140625,Solve_Succeeded
17,S308NE,2,3,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001538991928100586,Not_Enough_Degrees_Of_Freedom
18,MGH17S,5,33,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001547098159790039,Not_Enough_Degrees_Of_Freedom
19,DENSCHNDNE,3,3,0,first_order,0.0,0.004,17,0.0,4.067447330267901e-5,18,19,18,0,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0,,0.008134841918945312,Solve_Succeeded
20,CERI651B,7,66,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0015988349914550781,Not_Enough_Degrees_Of_Freedom
21,THURBER,7,37,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0015399456024169922,Not_Enough_Degrees_Of_Freedom
