id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,residuals,internal_msg
11,EXPFITNE,2,10,0,max_iter,0.0,18.189999999999998,45368,3.2220260266672086e7,0.1,46197,45410,46208,0,0,45431,0,0,45389,0,0,0,0,0,0,0,0,0,0,,"[-0.31895032415545765, -0.17577594729812648, -0.05265905749251465, 0.04663436875691548, 0.1176312584387658, 0.15501867820319068, 0.15248614290765508, 0.1025383161509749, -0.0037274563791513866, -0.17688538370579385]",Solve_Failed
12,SSINE,3,2,0,first_order,0.0,0.021000000000000005,34,0.0002374888873256653,0.0001,74,44,77,0,0,49,0,0,39,0,0,0,0,0,0,0,0,0,0,,"[-9.296725944376217e-7, -2.2095944576688864e-6]",Solve_Succeeded
13,HS7,2,1,0,first_order,-1.7320725563484687,0.011000000000000003,19,3.538623087606663e-5,0.001,23,27,33,0,0,31,0,0,23,0,0,0,0,0,0,0,0,0,0,,[-2.9422905353740196e-5],Solve_Succeeded
14,BOX3NE,3,10,0,first_order,0.0,0.003,4,3.933489684498914e-5,0.0001,9,14,9,0,0,19,0,0,9,0,0,0,0,0,0,0,0,0,0,,"[-0.00010095367807940652, 6.508202898397044e-6, 7.01153147742936e-5, 7.801632724903541e-5, 5.508481104973752e-5, 2.0672048694200373e-5, -1.485911040303116e-5, -4.695966676623707e-5, -7.408165899737385e-5, -9.605384515283916e-5]",Solve_Succeeded
15,HS48,5,2,0,first_order,0.0,0.003,3,4.857225732735102e-17,0.001,7,11,7,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,,"[0.0, 1.734723475976807e-18]",Solve_Succeeded
16,BT9,4,2,0,first_order,-1.0005915098761757,0.005,9,0.0005114205620053713,0.0001,14,19,14,0,0,24,0,0,14,0,0,0,0,0,0,0,0,0,0,,"[0.0002595008613166137, 0.0002595008613166137]",Solve_Succeeded
17,S308NE,2,3,0,max_iter,0.0,17.124,46637,6.555971919997319e7,0.1,46693,46679,46697,0,0,46701,0,0,46657,0,0,0,0,0,0,0,0,0,0,,"[-0.3986843585831922, -0.15484579283505875, -0.7682920189056773]",Solve_Failed
18,MGH17S,5,33,0,max_iter,0.0,2.1069999999999993,1475,2.8169886867488456e9,0.01,3203,1531,3258,0,0,1552,0,0,1510,0,0,0,0,0,0,0,0,0,0,,"[0.0005773777994246253, -0.008462124819868471, 0.023656791545014565, 0.04589438819660605, 0.05439356518406786, 0.05705003598418411, 0.049726120296246165, 0.03840465236066146, 0.026083492042604184, 0.01176237243063702, -0.0015587397176249, -0.014879848510216348, -0.02820095449338709, -0.03552205773766749, -0.045843158242016006, -0.05116425597670126, -0.054485351055236726, -0.0568064432923048, -0.057127532844136776, -0.05344861967394567, -0.04976970373889067, -0.04609078509717943, -0.038411863675237475, -0.02973293952824567, -0.02005401262710018, -0.009375083030008667, 0.0003038493426569507, 0.012982784448055833, 0.025661722260110945, 0.04134066286310698, 0.05501960613597202, 0.07169855219977797, 0.08637750093345292]",Solve_Failed
19,DENSCHNDNE,3,3,0,first_order,0.0,0.003,8,1.0052281523246326e-6,0.1,10,12,10,0,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0,,"[2.075024639718807e-9, -1.8713101659122946e-9, -6.0286568844367246e-9]",Solve_Succeeded
20,CERI651B,7,66,0,max_iter,0.0,28.864,32946,3.289419282558811e8,1.0,34594,32998,34599,0,0,33019,0,0,32977,0,0,0,0,0,0,0,0,0,0,,"[0.6575617260272896, -0.05974276452810285, -1.051457508491797, 0.6322288341836604, 1.4161031223056437, -1.1257268131919254, 1.3680067841115886, -0.3050095523167774, 0.36133911657696915, 0.17382521093212627, 0.8952166969586951, -0.5683125850034556, -2.716227279135542, -0.05332401800346015, 0.6622877491312327, -1.3679556402696413, 0.6276917298778192, -0.8975722460903646, 1.350234577383971, 0.4396991941879038, 0.3705518189120192, 2.3983273870539805, 0.46376850515327805, 0.42812623053108156, 0.40826694629557575, 1.6384535746224302, 0.5424911531187857, -2.254409871660144, -0.42899971460332276, -1.5323969017628873, 0.5716781840048708, 0.3185273201463511, -0.5725742689799127, -1.1527206920368935, -1.1702128562579834, 0.16301016154748774, 1.0128466675676266, 1.4776680883860347, 0.5143535222190578, 2.7381886788268885, 1.6714742687498898, 2.12517123264831, 2.2701430530111786, 1.9359100596208068, 2.601473622602364, 1.5284891745057694, 1.550833270183591, 1.2557619573443928, 0.3960394806813599, 0.8901205342504737, 0.8883240113794071, -1.407970413304579, -0.4340027203270583, -0.44098074972407764, 1.246512332589292, -0.4556006647516654, -0.4630235372941431, 0.360589382361108, 0.35532117931278745, -1.4657865168512256, 1.224212662492496, -0.5002794443854415, -0.5077344758549396, -0.5151896968757269, 0.8303384136040965, -1.510516614353581]",Solve_Failed
21,THURBER,7,37,0,max_iter,0.0,6.053,10862,6.079548507902655e9,10.0,13585,10920,13585,0,0,10941,0,0,10899,0,0,0,0,0,0,0,0,0,0,,"[-34.39245766136994, -18.818929965854416, -8.413021542099301, -7.446042975670599, 1.9703253752251038, 6.308679280138781, 12.874440253564735, 13.255249328560977, 17.93888823811574, 19.73951489761848, 15.295357551854247, 10.582122799092486, -24.87527436724775, -62.785028877263294, 6.431445210184061, -14.345502311766023, 14.953854498962999, 3.2756491563052372, 47.71317059879284, 14.32318328618002, 28.32273494725164, 7.827801510219749, -22.77810634303945, -7.377714731752174, -0.4862708041090841, 10.507599957706658, -9.389034579346465, 0.9741767480815179, -25.166429926479484, -13.068713708529854, -13.424248950912885, -19.350875085182462, -2.10701120302274, 13.032390221466681, 19.823854835895446, 2.780439743735077, 16.075095687538298]",Solve_Failed
22,CERI651E,7,64,0,max_iter,0.0,12.145999999999999,13933,2.0029659761013362e8,1.0,15666,13988,15668,0,0,14009,0,0,13967,0,0,0,0,0,0,0,0,0,0,,"[-0.09318552712282405, 1.3156437090756137, 0.8731378431341758, -0.1143259606224596, -0.12137536173497993, -0.12842991108597604, -0.13549917755178068, -0.14260481914632742, -0.1497986716381032, -0.1571921277304648, -0.16501554649519884, -0.17371160244135425, -0.18408198051439648, -0.19747724227361052, -0.21601602330120098, -0.24275621592530355, -0.2817267708567912, -0.33765408925990015, 0.5651271655518151, -0.5182437843845593, -0.6475240920328469, 0.1804060135468607, 0.012911656230309805, 0.5827254166146257, 0.4737669652462794, 1.5608184635152575, -0.5046244979625214, 0.32536171775920936, -1.457734004952857, 0.42256291272710894, -0.25057588041070866, 1.9612642522161226, 0.0574831334543557, 0.8356002211182207, -0.6566738712265484, 0.420278834148023, -0.48954927531490905, -0.44189344895724725, 0.5678068697793411, -0.396874598229611, 1.1104549405072035, 0.5905387462147641, -0.39289333773516477, 0.5824759984721622, 0.576323038362849, 0.5696333716483044, -0.4177241614772583, -0.42477623873521847, 0.5485418092143441, -0.4389916743809346, -0.4461154552040599, 0.5271749058630261, -0.46036871201092583, -0.46749601060404533, -0.47462338789343567, 0.498665792289384, 0.49153838635471414, 0.4844109788438418, -0.5031330090524451, 0.47015616296181173, -0.5173878250436329, 1.0156302235684032, -0.5316426410635934, -0.5387700490741306]",Solve_Failed
23,BARDNE,3,15,0,max_iter,0.0,6.690999999999999,15475,5.516561294238542e6,0.01,17282,15526,17282,0,0,15547,0,0,15505,0,0,0,0,0,0,0,0,0,0,,"[0.005882306859014631, 0.0002697965387135775, -0.00026910527520032407, -0.006536325988260308, 0.0008267505826751945, 0.0013010236597380026, 0.004461859000253904, 0.019958535091761584, -0.08222030675970447, 0.018207904105007534, 0.01480739931560439, 0.014706642131499598, 0.01120538015799172, 0.004202856210976184, -0.006804715630071524]",Solve_Failed
24,GOTTFR,2,2,0,first_order,0.0,0.004,6,1.1708573702745175e-6,0.0001,13,16,13,0,0,21,0,0,11,0,0,0,0,0,0,0,0,0,0,,"[-1.0330977628106742e-5, -1.8609200258822055e-7]",Solve_Succeeded
25,STREGNE,4,2,0,first_order,0.0,0.003,4,6.245004513498638e-17,0.001,8,12,8,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,,"[0.0, -1.734723475976807e-18]",Solve_Succeeded
