id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,MSS1,90,73,0,max_time,-15.990168664148465,30.096574068069458,10,13.368431912140398,0.00035738982928156177,2316,2271,2363,0,0,0,1321432,1323701,0,1321429,0,0,0,0,0,0,0,0,0,
2,WAYSEA1NE,2,2,0,first_order,9.62964972193618e-35,0.0019898414611816406,7,3.705770933172362e-10,1.2355455010447965e-11,32,40,26,0,0,0,332,371,0,332,0,0,0,0,0,0,0,0,0,
3,BROWNDENE,4,20,0,infeasible,131072.0,0.019227981567382812,16,0.0,292.9542649500645,130,148,219,0,0,0,2658,2806,0,2658,0,0,0,0,0,0,0,0,0,
4,HS79,5,3,0,first_order,0.07877682094157933,0.002574920654296875,6,6.664622192103254e-12,1.88936665777386e-9,44,43,47,0,0,0,422,463,0,418,0,0,0,0,0,0,0,0,0,
5,GULFNE,3,99,0,first_order,0.0,0.05335712432861328,6,9.928341243352684e-11,7.846311604216761e-9,52,50,57,0,0,0,402,451,0,402,0,0,0,0,0,0,0,0,0,
6,JUDGENE,2,20,0,infeasible,-32.0,0.008066892623901367,16,0.0,4.010203253322754,65,83,88,0,0,0,1909,1992,0,1909,0,0,0,0,0,0,0,0,0,
7,STRTCHDVNE,10,9,0,first_order,0.0,0.004194021224975586,4,3.717251324067398e-12,0.0,23,25,23,0,0,0,147,171,0,147,0,0,0,0,0,0,0,0,0,
8,TRIGON1NE,10,10,0,first_order,0.0,0.005526065826416016,6,3.080246514187508e-8,3.27737829725652e-10,75,78,126,0,0,0,590,667,0,590,0,0,0,0,0,0,0,0,0,
9,PENLT1NE,10,11,0,infeasible,-4.656612873077393e-10,0.08397579193115234,31,0.6588951876041402,2.6622776600352656e-5,1861,1549,2561,0,0,0,22940,24489,0,22940,0,0,0,0,0,0,0,0,0,
10,BA-L1SP,57,12,0,first_order,1.1754943508222875e-38,0.9427931308746338,6,4.794548692635306e-7,3.4591529215659196e-13,52,53,69,0,0,0,4214,4266,0,4214,0,0,0,0,0,0,0,0,0,
11,EXPFITNE,2,10,0,infeasible,0.0,0.013321876525878906,18,0.5045601499390533,0.4904187945002294,180,197,304,0,0,0,2679,2876,0,2679,0,0,0,0,0,0,0,0,0,
12,SSINE,3,2,0,max_iter,-1.1168755804991503e-24,8.718471050262451,3001,1.1008777385266104e9,1.1073290616032348e-8,166320,150517,226410,0,0,0,4285693,4436209,0,4285693,0,0,0,0,0,0,0,0,0,
13,HS7,2,1,0,first_order,-1.732050807323665,0.002936124801635742,6,1.4416713115194634e-11,8.494405179249043e-10,92,76,110,0,0,0,608,682,0,606,0,0,0,0,0,0,0,0,0,
14,BOX3NE,3,10,0,first_order,1.9614237547415238e-26,0.0032629966735839844,8,8.976330019050224e-13,3.7487941327442646e-9,38,48,31,0,0,0,282,329,0,282,0,0,0,0,0,0,0,0,0,
15,HS48,5,2,0,first_order,0.0,0.0011281967163085938,5,2.4126510435400514e-13,3.1707771908437873e-9,11,17,6,0,0,0,45,60,0,42,0,0,0,0,0,0,0,0,0,
