id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,real_time,internal_msg
1,MSS1,90,73,0,unknown,-15.999999999124363,0.31,262,7.323141668891253e-5,1.124846094851829e-10,780,233,781,0,0,267,0,0,261,0,0,0,0,0,0,0,0,0,0,,0.3333010673522949,Restoration_Failed
2,WAYSEA1NE,2,2,0,first_order,0.0,0.003,7,0.0,2.7140425906679866e-8,8,9,8,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,,0.003751039505004883,Solve_Succeeded
3,BROWNDENE,4,20,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0015420913696289062,Not_Enough_Degrees_Of_Freedom
4,HS79,5,3,0,first_order,0.07877682107949913,0.002,4,3.412663325541576e-9,3.88762644298879e-9,5,6,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.0025739669799804688,Solve_Succeeded
5,GULFNE,3,99,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0016269683837890625,Not_Enough_Degrees_Of_Freedom
6,JUDGENE,2,20,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0015838146209716797,Not_Enough_Degrees_Of_Freedom
7,STRTCHDVNE,10,9,0,first_order,0.0,0.006,10,3.645322624071852e-11,6.482908647404004e-7,11,12,11,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,,0.006217002868652344,Solve_Succeeded
8,TRIGON1NE,10,10,0,first_order,0.0,0.001,4,0.0,1.7789128392564635e-8,5,6,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.002574920654296875,Solve_Succeeded
9,PENLT1NE,10,11,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001516103744506836,Not_Enough_Degrees_Of_Freedom
10,BA-L1SP,57,12,0,first_order,0.0,0.007,5,3.4564265232806444e-13,5.352736235888144e-12,6,7,6,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,,0.006706953048706055,Solve_Succeeded
11,EXPFITNE,2,10,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0015139579772949219,Not_Enough_Degrees_Of_Freedom
12,SSINE,3,2,0,first_order,0.0,0.12200000000000001,226,2.4201085579989012e-11,3.4989520144954754e-9,986,228,1001,0,0,228,0,0,226,0,0,0,0,0,0,0,0,0,0,,0.13406801223754883,Solve_Succeeded
13,HS7,2,1,0,first_order,-1.7320508075689498,0.016,27,3.381739333008227e-13,2.5135449277513544e-13,28,29,58,0,0,29,0,0,27,0,0,0,0,0,0,0,0,0,0,,0.015503883361816406,Solve_Succeeded
14,BOX3NE,3,10,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0016469955444335938,Not_Enough_Degrees_Of_Freedom
15,HS48,5,2,0,first_order,3.944304526105059e-31,0.001,1,1.4988010832439613e-15,4.440892098500626e-16,2,3,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.0012769699096679688,Solve_Succeeded
16,BT9,4,2,0,first_order,-1.0000000000031393,0.006,13,1.3320041577620484e-11,1.6764367672283423e-12,14,15,14,0,0,15,0,0,13,0,0,0,0,0,0,0,0,0,0,,0.006883859634399414,Solve_Succeeded
17,S308NE,2,3,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0015690326690673828,Not_Enough_Degrees_Of_Freedom
18,MGH17S,5,33,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0015709400177001953,Not_Enough_Degrees_Of_Freedom
19,DENSCHNDNE,3,3,0,first_order,0.0,0.008,18,0.0,1.3887966408825387e-5,19,20,19,0,0,20,0,0,18,0,0,0,0,0,0,0,0,0,0,,0.008799076080322266,Solve_Succeeded
20,CERI651B,7,66,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0017609596252441406,Not_Enough_Degrees_Of_Freedom
21,THURBER,7,37,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0016241073608398438,Not_Enough_Degrees_Of_Freedom
