id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,residuals,internal_msg
1,MSS1,90,73,0,first_order,-16.00013960566701,0.194,174,1.0608181328919386e-6,1.0000000000000002e-6,197,194,197,0,0,204,0,0,184,0,0,0,0,0,0,0,0,0,0,,"[5.868147139194175e-12, 1.1430172001430501e-7, 1.765038500852494e-8, 2.2640545598105718e-8, 1.017775920193248e-7, -1.0756009201897879e-7, 1.7650765607883605e-8, -1.251613621321667e-7, -2.5922688965966785e-7, 1.846827412674926e-11, -1.506336383215369e-10, 1.7093014728066446e-7, 4.415378011222525e-7, -3.30983071872022e-8, 7.61186641159618e-8, -5.233825278616141e-8, 7.607996046308863e-8, -5.2318327569095954e-8, 1.563834608314393e-11, -3.569311402872177e-8, 1.0444124279107281e-8, 7.044708159755778e-9, -4.747520889582337e-8, 4.9137988882670425e-8, 3.4005595009214026e-9, -8.509937368684127e-8, 1.5734949399796655e-8, -3.1136186361928835e-8, -6.04437355114516e-8, 9.505697885856874e-8, 4.6869018958638816e-8, -1.9903480591186272e-8, -2.1492832440536977e-8, -3.523479557909539e-14, -3.3068365072154306e-8, 6.255881205817089e-9, 6.905973601332829e-9, 3.025017998045469e-8, 1.3383465852458078e-8, -3.2316253468001745e-8, 2.903314414389154e-8, -2.837965388436905e-8, 4.5697565388575425e-8, -2.8736540345057794e-8, 9.462767650355256e-9, 1.4728451008830025e-12, -3.307388255870782e-8, 9.25640272152872e-9, 9.458789526884446e-9, -2.2304165377828276e-8, -5.361901676841278e-9, -4.2847097766113864e-9, 1.882462378935317e-8, 1.7152375557724603e-8, -5.361691696316238e-9, -2.684182507167895e-10, -2.532159605507475e-10, 2.7485288918035287e-10, 1.5933500140097577e-10, 5.475439994933996e-10, 1.5935753200785553e-10, -6.843861675490263e-8, -1.219319584242396e-7, 2.539807029671742e-7, -2.249672133843811e-7, 9.411924677387875e-8, 3.691649819992391e-12, -2.2137732542590354e-11, 1.2810302066437007e-8, 4.5017105478285573e-8, 1.314132070828151e-7, 4.1146917989895536e-11, -3.2208867820694446e-8]",Solve_Succeeded
2,WAYSEA1NE,2,2,0,first_order,0.0,0.003,6,1.51863551111473e-6,0.01,9,12,9,0,0,15,0,0,9,0,0,0,0,0,0,0,0,0,0,,"[-3.268676274998699e-7, 5.667060766997651e-8]",Solve_Succeeded
3,BROWNDENE,4,20,0,max_iter,0.0,4.8199999999999985,10504,6.096252001519315e9,10.0,13307,10562,13308,0,0,10583,0,0,10541,0,0,0,0,0,0,0,0,0,0,,"[-105.31990096310378, -62.43407720880622, -31.387609276839743, -11.474038240780363, -1.7843554816030298, -1.1616919238206305, -8.155506184024857, -20.980375101275925, -37.48782328659251, -55.1650355449149, -71.18296000718189, -82.53001385122084, -86.2889981000504, -80.14783625225104, -63.285363070692064, -37.850260126745, -11.367910371370392, -0.5858696604899709, -37.533950730540276, -178.97373297665536]",Solve_Failed
4,HS79,5,3,0,first_order,0.0787768259287991,0.003,4,7.142994917774814e-9,0.001,8,12,8,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,,"[-3.581459938856478e-8, -1.9534300039081182e-7, -5.629591518031601e-7]",Solve_Succeeded
5,GULFNE,3,99,0,max_iter,0.0,0.03600000000000001,23,0.00018189894035458565,0.1,131,65,131,0,0,86,0,0,44,0,0,0,0,0,0,0,0,0,0,,"[-0.99, -0.98, -0.97, -0.96, -0.95, -0.94, -0.9299999999999999, -0.92, -0.91, -0.9, -0.89, -0.88, -0.87, -0.86, -0.85, -0.84, -0.83, -0.8200000000000001, -0.81, -0.8, -0.79, -0.78, -0.77, -0.76, -0.75, -0.74, -0.73, -0.72, -0.71, -0.7, -0.69, -0.6799999999999999, -0.6699999999999999, -0.6599999999999999, -0.65, -0.64, -0.63, -0.62, -0.61, -0.6, -0.5900000000000001, -0.5800000000000001, -0.5700000000000001, -0.56, -0.55, -0.54, -0.53, -0.52, -0.51, -0.5, -0.49, -0.48, -0.47, -0.45999999999999996, -0.44999999999999996, -0.43999999999999995, -0.43000000000000005, -0.42000000000000004, -0.41000000000000003, -0.4, -0.39, -0.38, -0.37, -0.36, -0.35, -0.33999999999999997, -0.32999999999999996, -0.31999999999999995, -0.31000000000000005, -0.30000000000000004, -0.29000000000000004, -0.28, -0.27, -0.26, -0.25, -0.24, -0.22999999999999998, -0.21999999999999997, -0.20999999999999996, -0.19999999999999996, -0.18999999999999995, -0.18000000000000005, -0.17000000000000004, -0.16000000000000003, -0.15000000000000002, -0.14, -0.13, -0.12, -0.10999999999999999, -0.09999999999999998, -0.08999999999999997, -0.07999999999999996, -0.06999999999999995, -0.06000000000000005, -0.050000000000000044, -0.040000000000000036, -0.030000000000000027, -0.020000000000000018, -0.010000000000000009]",Solve_Failed
6,JUDGENE,2,20,0,max_iter,0.0,22.621,51436,1.9273912377448142e8,1.0,51457,51478,51457,0,0,51499,0,0,51457,0,0,0,0,0,0,0,0,0,0,,"[2.0806632978195103, 1.188302307276326, 2.0641653996227665, -0.7615154370990622, -0.5511623807865954, -0.3365806720653985, -0.2980594630535196, 0.8861128100124934, 0.41934255304803497, -0.6219807586977039, -0.1324259412148221, -0.9875314579591694, -0.12853197518823503, 0.016006756972941884, 0.21416085746271799, -0.29890558116240695, -0.5315727392187449, -1.187583837618026, -0.1491322800367201, -0.8866268985001556]",Solve_Failed
7,STRTCHDVNE,10,9,0,first_order,0.0,0.004,7,2.0397731936508038e-6,1.0e-5,13,19,13,0,0,25,0,0,13,0,0,0,0,0,0,0,0,0,0,,"[-1.103875788307168e-6, -1.1281812086200593e-7, -1.0220793257940023e-6, -1.658694308659035e-7, -9.959230228087205e-7, -1.6586943086588664e-7, -1.0220793257940057e-6, -1.1281812086198957e-7, -1.103875788307171e-6]",Solve_Succeeded
8,TRIGON1NE,10,10,0,first_order,0.0,0.005,5,2.876424063102127e-8,0.0001,10,15,10,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,,"[-7.348274792606867e-7, -1.3915546018011486e-7, -5.6096238807605567e-8, -3.0110767128417314e-8, -1.8757805246816476e-8, -1.2801351333828006e-8, -9.291739919241349e-9, -7.050909878330565e-9, -5.533272991406518e-9, -4.457934036466593e-9]",Solve_Succeeded
9,PENLT1NE,10,11,0,first_order,0.0,0.005,8,1.7321092243331062e-8,0.001,12,16,12,0,0,20,0,0,12,0,0,0,0,0,0,0,0,0,0,,"[8.404319215715667e-6, 8.403997333106999e-6, 8.40367545049833e-6, 8.403353567889661e-6, 8.403031685280995e-6, 8.402709802672327e-6, 8.40238792006366e-6, 8.402066037454991e-6, 8.401744154846323e-6, 8.401422272237655e-6, 2.1822686259734896e-7]",Solve_Succeeded
10,BA-L1SP,57,12,0,first_order,0.0,0.008,5,4.999760141037376e-10,1.0e-5,11,17,11,0,0,23,0,0,11,0,0,0,0,0,0,0,0,0,0,,"[3.999793633026221e-6, 3.999782195386091e-6, 3.999643361668043e-6, 3.999742468552104e-6, 3.999646733284648e-6, 3.999784466218353e-6, 3.99902413635041e-6, 3.995668067482991e-6, 3.999241292525757e-6, 3.995708126534587e-6, 3.999399889179291e-6, 3.997457175357883e-6]",Solve_Succeeded
11,EXPFITNE,2,10,0,max_iter,0.0,18.465,45368,3.2220260266672086e7,0.1,46197,45410,46208,0,0,45431,0,0,45389,0,0,0,0,0,0,0,0,0,0,,"[-0.31895032415545765, -0.17577594729812648, -0.05265905749251465, 0.04663436875691548, 0.1176312584387658, 0.15501867820319068, 0.15248614290765508, 0.1025383161509749, -0.0037274563791513866, -0.17688538370579385]",Solve_Failed
12,SSINE,3,2,0,first_order,0.0,0.021,40,5.4359627910116615e-11,1.0e-5,81,52,84,0,0,58,0,0,46,0,0,0,0,0,0,0,0,0,0,,"[-3.2780944365355374e-9, -5.2143567949357344e-8]",Solve_Succeeded
13,HS7,2,1,0,first_order,-1.7320508476763268,0.013000000000000001,20,6.00589689092601e-10,0.0001,25,30,35,0,0,35,0,0,25,0,0,0,0,0,0,0,0,0,0,,[-1.3832901160711712e-7],Solve_Succeeded
14,BOX3NE,3,10,0,first_order,0.0,0.005,5,5.07149425232889e-8,1.0e-5,11,17,11,0,0,23,0,0,11,0,0,0,0,0,0,0,0,0,0,,"[-1.048402794836067e-6, 1.4241640475800503e-11, 6.697285339814907e-7, 7.885890969857988e-7, 5.829686365196491e-7, 2.4559266022956274e-7, -1.1284545394277438e-7, -4.4240586133007876e-7, -7.222136731732822e-7, -9.508394961678629e-7]",Solve_Succeeded
15,HS48,5,2,0,first_order,0.0,0.003,3,4.857225732735102e-17,0.001,7,11,7,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,,"[0.0, 1.734723475976807e-18]",Solve_Succeeded
16,BT9,4,2,0,first_order,-1.0000040650706123,0.007,11,3.2878950229076054e-8,1.0000000000000002e-6,18,25,18,0,0,32,0,0,18,0,0,0,0,0,0,0,0,0,0,,"[2.030095575857361e-6, 2.0300955758573337e-6]",Solve_Succeeded
17,S308NE,2,3,0,max_iter,0.0,17.328,46637,6.555971919997319e7,0.1,46693,46679,46697,0,0,46701,0,0,46657,0,0,0,0,0,0,0,0,0,0,,"[-0.3986843585831922, -0.15484579283505875, -0.7682920189056773]",Solve_Failed
18,MGH17S,5,33,0,max_iter,0.0,2.2029999999999994,1475,2.8169886867488456e9,0.01,3203,1531,3258,0,0,1552,0,0,1510,0,0,0,0,0,0,0,0,0,0,,"[0.0005773777994246253, -0.008462124819868471, 0.023656791545014565, 0.04589438819660605, 0.05439356518406786, 0.05705003598418411, 0.049726120296246165, 0.03840465236066146, 0.026083492042604184, 0.01176237243063702, -0.0015587397176249, -0.014879848510216348, -0.02820095449338709, -0.03552205773766749, -0.045843158242016006, -0.05116425597670126, -0.054485351055236726, -0.0568064432923048, -0.057127532844136776, -0.05344861967394567, -0.04976970373889067, -0.04609078509717943, -0.038411863675237475, -0.02973293952824567, -0.02005401262710018, -0.009375083030008667, 0.0003038493426569507, 0.012982784448055833, 0.025661722260110945, 0.04134066286310698, 0.05501960613597202, 0.07169855219977797, 0.08637750093345292]",Solve_Failed
19,DENSCHNDNE,3,3,0,first_order,0.0,0.004,8,1.0052281523246326e-6,0.1,10,12,10,0,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0,,"[2.075024639718807e-9, -1.8713101659122946e-9, -6.0286568844367246e-9]",Solve_Succeeded
20,CERI651B,7,66,0,max_iter,0.0,28.456,32946,3.289419282558811e8,1.0,34594,32998,34599,0,0,33019,0,0,32977,0,0,0,0,0,0,0,0,0,0,,"[0.6575617260272896, -0.05974276452810285, -1.051457508491797, 0.6322288341836604, 1.4161031223056437, -1.1257268131919254, 1.3680067841115886, -0.3050095523167774, 0.36133911657696915, 0.17382521093212627, 0.8952166969586951, -0.5683125850034556, -2.716227279135542, -0.05332401800346015, 0.6622877491312327, -1.3679556402696413, 0.6276917298778192, -0.8975722460903646, 1.350234577383971, 0.4396991941879038, 0.3705518189120192, 2.3983273870539805, 0.46376850515327805, 0.42812623053108156, 0.40826694629557575, 1.6384535746224302, 0.5424911531187857, -2.254409871660144, -0.42899971460332276, -1.5323969017628873, 0.5716781840048708, 0.3185273201463511, -0.5725742689799127, -1.1527206920368935, -1.1702128562579834, 0.16301016154748774, 1.0128466675676266, 1.4776680883860347, 0.5143535222190578, 2.7381886788268885, 1.6714742687498898, 2.12517123264831, 2.2701430530111786, 1.9359100596208068, 2.601473622602364, 1.5284891745057694, 1.550833270183591, 1.2557619573443928, 0.3960394806813599, 0.8901205342504737, 0.8883240113794071, -1.407970413304579, -0.4340027203270583, -0.44098074972407764, 1.246512332589292, -0.4556006647516654, -0.4630235372941431, 0.360589382361108, 0.35532117931278745, -1.4657865168512256, 1.224212662492496, -0.5002794443854415, -0.5077344758549396, -0.5151896968757269, 0.8303384136040965, -1.510516614353581]",Solve_Failed
21,THURBER,7,37,0,max_iter,0.0,5.9830000000000005,10862,6.079548507902655e9,10.0,13585,10920,13585,0,0,10941,0,0,10899,0,0,0,0,0,0,0,0,0,0,,"[-34.39245766136994, -18.818929965854416, -8.413021542099301, -7.446042975670599, 1.9703253752251038, 6.308679280138781, 12.874440253564735, 13.255249328560977, 17.93888823811574, 19.73951489761848, 15.295357551854247, 10.582122799092486, -24.87527436724775, -62.785028877263294, 6.431445210184061, -14.345502311766023, 14.953854498962999, 3.2756491563052372, 47.71317059879284, 14.32318328618002, 28.32273494725164, 7.827801510219749, -22.77810634303945, -7.377714731752174, -0.4862708041090841, 10.507599957706658, -9.389034579346465, 0.9741767480815179, -25.166429926479484, -13.068713708529854, -13.424248950912885, -19.350875085182462, -2.10701120302274, 13.032390221466681, 19.823854835895446, 2.780439743735077, 16.075095687538298]",Solve_Failed
22,CERI651E,7,64,0,max_iter,0.0,12.046999999999999,13933,2.0029659761013362e8,1.0,15666,13988,15668,0,0,14009,0,0,13967,0,0,0,0,0,0,0,0,0,0,,"[-0.09318552712282405, 1.3156437090756137, 0.8731378431341758, -0.1143259606224596, -0.12137536173497993, -0.12842991108597604, -0.13549917755178068, -0.14260481914632742, -0.1497986716381032, -0.1571921277304648, -0.16501554649519884, -0.17371160244135425, -0.18408198051439648, -0.19747724227361052, -0.21601602330120098, -0.24275621592530355, -0.2817267708567912, -0.33765408925990015, 0.5651271655518151, -0.5182437843845593, -0.6475240920328469, 0.1804060135468607, 0.012911656230309805, 0.5827254166146257, 0.4737669652462794, 1.5608184635152575, -0.5046244979625214, 0.32536171775920936, -1.457734004952857, 0.42256291272710894, -0.25057588041070866, 1.9612642522161226, 0.0574831334543557, 0.8356002211182207, -0.6566738712265484, 0.420278834148023, -0.48954927531490905, -0.44189344895724725, 0.5678068697793411, -0.396874598229611, 1.1104549405072035, 0.5905387462147641, -0.39289333773516477, 0.5824759984721622, 0.576323038362849, 0.5696333716483044, -0.4177241614772583, -0.42477623873521847, 0.5485418092143441, -0.4389916743809346, -0.4461154552040599, 0.5271749058630261, -0.46036871201092583, -0.46749601060404533, -0.47462338789343567, 0.498665792289384, 0.49153838635471414, 0.4844109788438418, -0.5031330090524451, 0.47015616296181173, -0.5173878250436329, 1.0156302235684032, -0.5316426410635934, -0.5387700490741306]",Solve_Failed
23,BARDNE,3,15,0,max_iter,0.0,6.760999999999999,15475,5.516561294238542e6,0.01,17282,15526,17282,0,0,15547,0,0,15505,0,0,0,0,0,0,0,0,0,0,,"[0.005882306859014631, 0.0002697965387135775, -0.00026910527520032407, -0.006536325988260308, 0.0008267505826751945, 0.0013010236597380026, 0.004461859000253904, 0.019958535091761584, -0.08222030675970447, 0.018207904105007534, 0.01480739931560439, 0.014706642131499598, 0.01120538015799172, 0.004202856210976184, -0.006804715630071524]",Solve_Failed
24,GOTTFR,2,2,0,first_order,0.0,0.006,7,8.401668468256012e-10,1.0e-5,15,19,15,0,0,25,0,0,13,0,0,0,0,0,0,0,0,0,0,,"[-2.944037622110611e-8, 7.305531335724227e-9]",Solve_Succeeded
25,STREGNE,4,2,0,first_order,0.0,0.002,4,6.245004513498638e-17,0.001,8,12,8,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,,"[0.0, -1.734723475976807e-18]",Solve_Succeeded
26,PENLT2NE,4,8,0,first_order,0.0,0.006,7,2.37075191826213e-12,1.0e-5,13,19,13,0,0,25,0,0,13,0,0,0,0,0,0,0,0,0,0,,"[6.870699689817959e-6, 2.7941392754326364e-6, 5.0297724096459455e-6, 7.44081326427425e-6, -1.2212169507540981e-6, -1.3648779795999567e-6, -1.514395496125797e-6, -6.7815168958865735e-6]",Solve_Succeeded
27,HS42,4,2,0,first_order,13.857863512298849,0.004,4,4.947695586565715e-10,0.0001,9,14,9,0,0,19,0,0,9,0,0,0,0,0,0,0,0,0,0,,"[7.390763408350707e-8, -2.823328108470423e-7]",Solve_Succeeded
28,HS27,3,1,0,first_order,0.0399999909373355,0.024,40,5.520708890038861e-12,1.0000000000000002e-6,111,54,116,0,0,61,0,0,47,0,0,0,0,0,0,0,0,0,0,,[-2.2656662340697342e-7],Solve_Succeeded
29,DENSCHNBNE,2,3,0,first_order,0.0,0.003,8,2.4709145840517976e-9,1.0e-5,16,20,16,0,0,26,0,0,14,0,0,0,0,0,0,0,0,0,0,,"[-3.541476442451408e-7, 6.396744613558432e-7, 3.496075006236514e-7]",Solve_Succeeded
30,DIXCHLNG,10,5,0,first_order,427.4928518473704,1.2939999999999998,3105,6.241812602146664e-6,1.0000000000000002e-7,3345,3127,3345,0,0,3138,0,0,3116,0,0,0,0,0,0,0,0,0,0,,"[8.23671190743143e-9, -1.2252491027880267e-8, 9.284968603929136e-9, -3.2256647374033397e-9, 3.635926664746591e-10]",Solve_Succeeded
31,VARDIMNE,10,12,0,first_order,0.0,0.022000000000000002,46,7.886684875915012e-8,1.0e-5,63,60,63,0,0,67,0,0,53,0,0,0,0,0,0,0,0,0,0,,"[2.594853767169197e-8, 5.189707534330093e-8, 7.784561301495065e-8, 1.0379415068659847e-7, 1.2974268835828102e-7, 1.556912260298361e-7, 1.8163976370152795e-7, 2.07588301373349e-7, 2.3353683904513657e-7, 2.594853767163977e-7, 9.990187009138783e-6, 2.4927509531182953e-8]",Solve_Succeeded
32,HIMMELBE,3,3,0,first_order,0.0,0.003,3,3.122502256758253e-17,0.001,7,11,7,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,,"[-4.336808689942018e-19, -8.673617379884035e-19, 0.0]",Solve_Succeeded
33,CERI651A,7,61,0,max_iter,0.0,28.887999999999995,34298,5.858654116789694e8,1.0,35751,34349,35767,0,0,34370,0,0,34328,0,0,0,0,0,0,0,0,0,0,,"[-0.5416025800101065, 0.9514626579456931, 1.2839545027737571, 0.10632528400522244, 1.939581032059759, 0.27824479827550846, 0.8076161357669479, 0.19090567459412475, -0.8115821049697576, -1.699038730635898, -6.094590993345184, -1.500016590751848, -3.6757982213682436, -4.72361608355352, -3.056155318420721, -2.177397010206705, 2.017463444391859, -2.374813867283164, 2.1624181867447634, -2.675153801769906, 0.10574130394971645, 3.474983458863085, -0.9222847369232369, -0.19623228990893263, 3.4442522204206356, 2.9832137472186377, -5.63775561906065, -0.5384106103791495, -2.3543828346637867, -0.9397905633333352, 1.313482511392423, -1.8877422591238415, 2.163584723873954, 2.038657840771101, 3.30696932403369, 1.6845464726950383, 3.4122881539008474, 2.5624273512580875, 2.931637938443734, 3.9425704520493414, 3.387301865527464, 3.712659488451779, 2.999047538948443, 2.5745595699378647, 1.558516506977592, 0.9811408693406265, -0.5346343832320416, 1.556056679380651, 2.012932271399256, -1.8481682932075592, -0.6459328445579194, 0.5003491110925481, 1.1898400113408725, 1.7070086617123919, 0.4296188347146825, 0.4059857700624535, 0.38234868815937556, -0.15189922733667585, -2.2714072383238544, -2.3188843907803673, -0.23413215184035216]",Solve_Failed
34,MISRA1C,2,14,0,max_iter,0.0,1.8699999999999999,3865,1.2979496284020796e7,0.01,9007,3919,9007,0,0,3940,0,0,3898,0,0,0,0,0,0,0,0,0,0,,"[0.033337671300053405, 0.03502044082360955, 0.03441000391651526, 0.06829866541547952, 0.029895092114116582, 0.03870554188919333, 0.04471709454495267, -0.0660804015916171, -0.03541138300417145, -0.08318582828220644, -0.037268770510850334, -0.08024116365274664, 0.07035319772548729, 0.05541795540513434]",Solve_Failed
35,HATFLDG,25,25,0,first_order,0.0,0.004,6,7.94518867666186e-7,0.001,19,14,20,0,0,18,0,0,10,0,0,0,0,0,0,0,0,0,0,,"[4.2664557098897216e-7, -5.232265811905019e-6, 8.152329261399422e-7, 8.739828413063908e-7, 7.652429521637923e-7, 3.2077677949188146e-7, 8.853552933803038e-7, 2.235277442809891e-9, 9.750767349648958e-7, -3.0992168495646503e-7, 1.098295493544288e-6, -6.518599775154734e-7, 1.424479391268495e-6, 1.0526387023369394e-6, 9.108620735799914e-7, 7.406704659259792e-7, 6.498386753368065e-7, 5.294518356507302e-7, 4.628970280883346e-7, 3.734716560040255e-7, 3.1998122278079685e-7, 2.534333658476485e-7, 2.0642764726790325e-7, 1.5669551922550904e-7, 9.97780756259697e-8]",Solve_Succeeded
