id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,real_time,internal_msg
1,MSS1,90,73,0,unknown,-15.999999343603013,0.264,185,0.010946392689652917,4.2995245691133077e-8,364,156,365,0,0,189,0,0,185,0,0,0,0,0,0,0,0,0,0,,0.2772090435028076,Restoration_Failed
2,WAYSEA1NE,2,2,0,first_order,0.0,0.004,7,0.0,2.7140425906679866e-8,8,9,8,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,,0.004125118255615234,Solve_Succeeded
3,BROWNDENE,4,20,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0015540122985839844,Not_Enough_Degrees_Of_Freedom
4,HS79,5,3,0,first_order,0.07877682107949913,0.002,4,3.412663325541576e-9,3.88762644298879e-9,5,6,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.0025501251220703125,Solve_Succeeded
5,GULFNE,3,99,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0016510486602783203,Not_Enough_Degrees_Of_Freedom
6,JUDGENE,2,20,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001567840576171875,Not_Enough_Degrees_Of_Freedom
7,STRTCHDVNE,10,9,0,first_order,0.0,0.003,7,2.2461606960989875e-9,4.1475447977943815e-5,8,9,8,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,,0.0045659542083740234,Solve_Succeeded
8,TRIGON1NE,10,10,0,first_order,0.0,0.002,4,0.0,1.7789128392564635e-8,5,6,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.002557039260864258,Solve_Succeeded
9,PENLT1NE,10,11,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0015180110931396484,Not_Enough_Degrees_Of_Freedom
10,BA-L1SP,57,12,0,first_order,0.0,0.005,4,3.927273451053737e-9,8.361756333512583e-5,5,6,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.005627870559692383,Solve_Succeeded
