id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
126,HYPCIR,2,2,0,first_order,0.0,0.000270843505859375,4,8.715723626148355e-9,9.5770813501872e-10,6,5,6,0,0,4,0,9,4,0,0,0,0,0,0,0,0,0,0,
127,HEART6,6,6,0,max_iter,0.0,0.32086896896362305,3000,10.138593882322311,0.245516027675116,54667,3001,54667,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
128,BIGGS6NE,6,13,0,first_order,0.0,0.016618013381958008,165,2.284117377238104e-6,1.271877850574088e-7,489,166,489,0,0,165,0,331,165,0,0,0,0,0,0,0,0,0,0,
129,LANCZOS1,6,24,0,max_iter,0.0,0.425537109375,3000,1.6487128821658317e-5,3.920286565401278e-5,3001,3001,3001,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
130,S316-322,2,1,0,first_order,334.3138107837148,0.0006680488586425781,14,8.726868117037156e-9,4.179922033609174e-6,17,15,17,0,0,14,0,29,14,0,0,0,0,0,0,0,0,0,0,
131,HIMMELBD,2,2,0,max_iter,0.0,0.17984795570373535,3000,5.94649463891983e-5,2.4335999083630204,50609,3001,50609,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
132,FLT,2,2,0,first_order,0.0,0.0006048679351806641,12,5.153605660852328e-6,2.603163588342097e-6,13,13,13,0,0,12,0,25,12,0,0,0,0,0,0,0,0,0,0,
133,FREURONE,2,2,0,max_iter,0.0,0.20972013473510742,3000,3.3243908546864986e-5,4.948952095102583,62748,3001,62748,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
134,DANWOOD,2,6,0,infeasible,0.0,0.002540111541748047,43,16.0,0.03683649379342757,71,44,71,0,0,43,0,88,43,0,0,0,0,0,0,0,0,0,0,
135,HYDCAR6,29,29,0,first_order,0.0,0.02357196807861328,65,3.989238381626689e-6,3.141621827129626e-7,71,66,71,0,0,65,0,131,65,0,0,0,0,0,0,0,0,0,0,
136,VIBRBEAMNE,8,30,0,max_iter,0.0,1.8910748958587646,3000,0.0347820941824466,0.17320270978146013,87456,3001,87456,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
137,HEART8,8,8,0,first_order,0.0,0.014519929885864258,172,2.8940980998344542e-8,2.219335826225688e-11,825,173,825,0,0,172,0,345,172,0,0,0,0,0,0,0,0,0,0,
138,VANDANIUMS,22,10,0,max_iter,0.0,0.4272019863128662,3000,0.22145117242046553,1.5158089430187829,3001,3001,3001,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
139,HELIXNE,3,3,0,first_order,0.0,0.001157999038696289,25,8.72874001466006e-6,5.4899192415249645e-9,27,26,27,0,0,25,0,51,25,0,0,0,0,0,0,0,0,0,0,
140,RSNBRNE,2,2,0,first_order,0.0,0.0006279945373535156,12,2.3775265448101483e-6,4.756291693830406e-9,35,13,35,0,0,12,0,25,12,0,0,0,0,0,0,0,0,0,0,
141,CLUSTER,2,2,0,first_order,0.0,0.0004749298095703125,8,5.013821868075824e-6,5.042108520546857e-7,9,9,9,0,0,8,0,17,8,0,0,0,0,0,0,0,0,0,0,
142,RAT42,3,9,0,max_iter,0.0,0.3713860511779785,3000,0.03863726556301117,1.8622954354405152,95198,3001,95198,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
143,METHANL8,31,31,0,first_order,0.0,0.5125699043273926,1239,2.120986699071932e-6,1.601499988179711e-8,1245,1240,1245,0,0,1239,0,2479,1239,0,0,0,0,0,0,0,0,0,0,
144,HS51,5,3,0,first_order,7.495540503224631e-13,0.0005400180816650391,9,2.420749354447913e-6,2.183764280516698e-9,10,10,10,0,0,9,0,19,9,0,0,0,0,0,0,0,0,0,0,
145,QINGNE,100,100,0,first_order,0.0,0.0027627944946289062,5,2.3051897018291034e-9,2.618119054886847e-10,8,6,8,0,0,5,0,11,5,0,0,0,0,0,0,0,0,0,0,
146,HS56,7,4,0,first_order,-3.4559999177835903,0.009005069732666016,73,3.844677233910687e-6,5.709170025625099e-8,563,74,563,0,0,73,0,147,73,0,0,0,0,0,0,0,0,0,0,
147,BT12,5,3,0,first_order,6.188118806137296,0.0007638931274414062,14,1.7821700555066097e-6,1.1604284477773064e-8,30,15,30,0,0,14,0,29,14,0,0,0,0,0,0,0,0,0,0,
148,HATFLDDNE,3,10,0,max_iter,0.0,0.2576260566711426,3000,0.0009765625,0.00028655777361275003,20677,3001,20677,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
149,HIMMELBA,2,2,0,first_order,0.0,0.0002582073211669922,3,2.9910179703178733e-6,2.9910180998626856e-9,4,4,4,0,0,3,0,7,3,0,0,0,0,0,0,0,0,0,0,
150,HS111LNP,10,3,0,first_order,-47.76109179185913,0.006901979446411133,49,6.945235497823887e-10,8.992517167016878e-8,218,50,218,0,0,49,0,99,49,0,0,0,0,0,0,0,0,0,0,
151,HS52,5,3,0,first_order,5.326643219993134,0.00096893310546875,18,2.2892358497728083e-6,4.2844476558917544e-7,19,19,19,0,0,18,0,37,18,0,0,0,0,0,0,0,0,0,0,
152,MISRA1B,2,14,0,max_iter,0.0,0.410275936126709,3000,0.006771489977836609,0.10762440579179611,97635,3001,97635,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
153,SINVALNE,2,2,0,first_order,0.0,0.0008420944213867188,17,3.1557543176342605e-7,6.311508635425614e-10,59,18,59,0,0,17,0,35,17,0,0,0,0,0,0,0,0,0,0,
154,EXP2NE,2,10,0,first_order,0.0,0.00047588348388671875,5,2.8659473531724106e-8,3.7987943520001455e-10,6,6,6,0,0,5,0,11,5,0,0,0,0,0,0,0,0,0,0,
155,HIMMELBFNE,4,7,0,max_iter,0.0,0.29454994201660156,3000,0.16206985712051392,1257.2472534558842,72314,3001,72314,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
156,MGH09,4,11,0,max_iter,0.0,0.23482584953308105,3000,0.0006165544775430334,0.02457049035730985,3001,3001,3001,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
157,ERRINRSMNE,50,98,0,max_iter,0.0,3.1907081604003906,3000,1.2556038768707367e-5,1.130270470718458,70870,3001,70870,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
158,POWERSUMNE,4,4,0,max_iter,0.0,0.3494539260864258,3000,0.00010248560283798724,4.732014322916012,74467,3001,74467,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
159,HS47,5,3,0,first_order,1.760673700799811e-9,0.0014119148254394531,24,4.312074078075723e-6,1.436319591152646e-6,40,25,40,0,0,24,0,49,24,0,0,0,0,0,0,0,0,0,0,
160,MGH17,5,33,0,max_iter,0.0,0.4974360466003418,3000,5.756896973707626e-5,0.005150551620204169,3006,3001,3006,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
161,BT3,5,3,0,first_order,4.093021943326032,0.0008718967437744141,17,6.206112880491332e-6,1.770176914495103e-7,18,18,18,0,0,17,0,35,17,0,0,0,0,0,0,0,0,0,0,
