id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,MSS1,90,73,0,max_iter,-38.31183722209472,9.61821985244751,3000,0.010142243352651015,0.020339133039590257,4936,3001,4936,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
2,WAYSEA1NE,2,2,0,first_order,0.0,0.0003941059112548828,7,5.004423637635416e-10,2.7141439762345954e-8,8,8,8,0,0,7,0,15,7,0,0,0,0,0,0,0,0,0,0,
3,BROWNDENE,4,20,0,max_iter,0.0,0.29394102096557617,3000,0.000274658203125,178.97779172104188,11947,3001,11947,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
4,HS79,5,3,0,first_order,0.07877516484170324,0.00033092498779296875,4,1.0282028660879572e-5,3.521019982644091e-5,5,5,5,0,0,4,0,9,4,0,0,0,0,0,0,0,0,0,0,
5,GULFNE,3,99,0,first_order,0.0,0.006757020950317383,14,3.0558621178023744e-8,1.469238619655755e-10,19,15,19,0,0,14,0,29,14,0,0,0,0,0,0,0,0,0,0,
6,JUDGENE,2,20,0,max_iter,0.0,0.24969911575317383,3000,0.0004730224609375,2.080825685876456,14906,3001,14906,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
7,STRTCHDVNE,10,9,0,first_order,0.0,0.000823974609375,7,8.063588264989423e-6,3.5248036788935666e-5,8,8,8,0,0,7,0,15,7,0,0,0,0,0,0,0,0,0,0,
8,TRIGON1NE,10,10,0,first_order,0.0,0.0005872249603271484,4,5.68221122989404e-7,1.8749178209986894e-8,5,5,5,0,0,4,0,9,4,0,0,0,0,0,0,0,0,0,0,
9,PENLT1NE,10,11,0,first_order,0.0,0.0006670951843261719,8,4.0747227734775947e-7,9.74325692531744e-6,9,9,9,0,0,8,0,17,8,0,0,0,0,0,0,0,0,0,0,
10,BA-L1SP,57,12,0,first_order,0.0,0.011864900588989258,3,8.537126210712706e-8,1.41201218490808e-5,4,4,4,0,0,3,0,7,3,0,0,0,0,0,0,0,0,0,0,
11,EXPFITNE,2,10,0,max_iter,0.0,0.19159698486328125,3000,0.0001220703125,0.31892202370220113,8957,3001,8957,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
12,SSINE,3,2,0,first_order,0.0,0.12325096130371094,2518,7.870656932110268e-11,1.8360867335469716e-7,21599,2519,21599,0,0,2518,0,5037,2518,0,0,0,0,0,0,0,0,0,0,
13,HS7,2,1,0,first_order,-1.732050814652565,0.0008718967437744141,16,2.946255017732824e-9,2.4538614251667923e-8,86,17,86,0,0,16,0,33,16,0,0,0,0,0,0,0,0,0,0,
14,BOX3NE,3,10,0,first_order,0.0,0.0004820823669433594,5,4.2672123245187534e-5,5.327902481352953e-8,6,6,6,0,0,5,0,11,5,0,0,0,0,0,0,0,0,0,0,
15,HS48,5,2,0,first_order,4.484372876993293e-10,0.0004658699035644531,7,5.545510315810019e-5,2.625621176033377e-8,8,8,8,0,0,7,0,15,7,0,0,0,0,0,0,0,0,0,0,
